sensor_id,geo_feature,feature_type,buffer_size,sum(value),count
72607,highway,tertiary,1000,1196.557997535208,
85641,highway,secondary,500,27.183098910772944,
83499,highway,tertiary,1000,3332.8530162732186,
86369,man_made,pipeline,1000,262.5092124568164,
72607,highway,secondary,1000,3576.613818811459,
66029,highway,track,500,952.8277889810216,
81081,highway,footway,500,5170.638624141162,
84721,highway,residential,500,7489.452420874138,
83499,highway,service,500,1701.8489650284905,
66029,highway,path,100,60.31767417620927,
83081,highway,secondary,500,1499.4024825779993,
83081,highway,service,500,1323.246803867114,
66029,highway,tertiary,500,903.6802823135135,
83081,highway,secondary,100,72.64460868117152,
86369,highway,track,1000,715.139449917428,
81081,highway,tertiary,1000,1206.5933586457118,
85641,highway,primary,500,792.9180773132987,
66029,highway,footway,1000,13206.1311148714,
85641,highway,path,1000,561.4428752543436,
85641,highway,secondary,1000,568.0626504297559,
8640,highway,secondary,100,197.1803362974873,
81081,highway,path,1000,3017.1545059370665,
84721,highway,tertiary,1000,3902.47313887276,
84721,highway,service,500,181.93166083545947,
81541,highway,residential,1000,21779.244428169022,
81541,man_made,compass_rose,500,16.38462424866303,
83081,highway,residential,500,4881.603820394593,
84721,highway,steps,1000,1103.6099671377967,
83081,highway,service,100,568.1765921109404,
66029,highway,footway,100,215.30651047790212,
81081,waterway,stream,1000,407.49187472576506,
86369,highway,tertiary,1000,859.2697280672363,
81541,highway,residential,500,5087.633535733442,
72607,highway,residential,100,441.22112540475325,
83081,highway,primary,1000,1737.3989708694814,
83081,highway,footway,1000,5609.582315598626,
86369,highway,service,500,1342.7829681432645,
72607,highway,service,500,2517.127208968228,
83081,highway,path,1000,1373.3812127054496,
86369,highway,cycleway,1000,50.211090576416105,
8640,highway,footway,1000,356.4560886066617,
85641,highway,path,500,409.7297438582694,
86369,highway,primary,1000,663.3849650221686,
66029,highway,residential,100,218.83251774112205,
83499,highway,footway,500,3410.6280904439272,
81541,highway,secondary_link,1000,203.2061132779667,
81541,highway,footway,500,17057.375546615353,
8640,highway,service,1000,3537.029745985564,
66029,highway,residential,500,2458.933877771416,
83499,highway,service,100,30.20472188894484,
66029,highway,unclassified,1000,44.06824252733906,
86369,highway,residential,500,5443.896011447444,
86369,highway,residential,1000,17198.207127803173,
85641,highway,residential,500,8561.322852715739,
81081,highway,residential,100,405.57247637992606,
81081,highway,path,500,586.284313713102,
83081,waterway,stream,1000,93.1172533326852,
66029,highway,secondary,1000,1769.0728220193878,
81081,highway,service,500,950.1581436286672,
81081,highway,secondary,1000,5480.123529380559,
81541,highway,cycleway,1000,836.8726455732295,
86369,waterway,stream,100,214.04449277335567,
8640,highway,residential,1000,18649.20858340113,
86369,waterway,stream,1000,2295.9009446428067,
81081,highway,track,1000,1178.5280067457022,
86369,highway,steps,1000,9.916955996950392,
86369,highway,unclassified,1000,172.45247171956868,
81541,highway,unclassified,1000,2928.559547977985,
