sensor_id,geo_feature,feature_type,buffer_size,count
72607,highway,traffic_signals,1000,2
66029,highway,turning_circle,500,4
8640,highway,turning_circle,1000,19
81541,highway,crossing,1000,360
86369,highway,bus_stop,1000,5
66029,highway,stop,1000,6
81081,highway,stop,100,1
84721,highway,turning_circle,1000,13
81081,highway,crossing,100,4
72607,highway,turning_circle,500,2
66029,highway,crossing,1000,4
83081,highway,mini_roundabout,500,1
83081,highway,traffic_signals,1000,2
85641,highway,bus_stop,500,1
8640,highway,traffic_signals,500,1
83499,highway,stop,500,9
84721,highway,bus_stop,1000,29
83499,highway,turning_loop,1000,1
83081,highway,mini_roundabout,1000,1
85641,highway,traffic_signals,1000,2
86369,highway,turning_circle,1000,5
72607,highway,crossing,500,6
81541,highway,bus_stop,500,1
83499,highway,turning_circle,1000,21
83081,highway,turning_circle,1000,26
84721,highway,bus_stop,500,8
83081,highway,crossing,1000,4
72607,highway,crossing,1000,12
72607,highway,bus_stop,1000,16
81081,highway,turning_circle,500,13
8640,highway,traffic_signals,1000,2
85641,highway,turning_circle,1000,1
81081,highway,turning_circle,1000,42
8640,highway,stop,1000,3
81541,highway,bus_stop,1000,3
83081,highway,traffic_signals,500,1
83081,highway,stop,1000,12
8640,highway,stop,500,1
84721,highway,traffic_signals,1000,1
83499,highway,crossing,500,16
81081,highway,traffic_signals,500,2
81541,highway,turning_circle,1000,5
8640,highway,turning_circle,500,9
84721,highway,stop,1000,2
81081,highway,traffic_signals,1000,10
86369,highway,stop,1000,16
84721,highway,crossing,500,1
81541,highway,stop,1000,56
66029,highway,traffic_signals,1000,5
84721,highway,crossing,1000,9
85641,highway,traffic_signals,500,1
83081,highway,turning_circle,500,11
83499,highway,stop,1000,40
83499,highway,turning_circle,500,4
85641,highway,stop,1000,6
72607,highway,traffic_signals,500,1
81081,highway,crossing,500,29
85641,highway,crossing,1000,4
84721,highway,turning_circle,500,1
83499,highway,traffic_signals,1000,1
83499,highway,crossing,1000,46
81541,highway,traffic_signals,500,3
86369,highway,traffic_signals,1000,7
72607,highway,bus_stop,500,6
81541,highway,give_way,1000,1
85641,highway,bus_stop,1000,5
81081,highway,bus_stop,1000,5
66029,highway,bus_stop,1000,2
84721,highway,traffic_signals,500,1
86369,highway,bus_stop,500,2
81541,highway,traffic_signals,1000,8
81081,highway,crossing,1000,103
72607,highway,turning_circle,1000,8
86369,highway,crossing,1000,35
81541,highway,stop,500,7
66029,highway,stop,500,1
86369,highway,street_lamp,1000,70
81081,highway,stop,1000,11
81081,highway,stop,500,6
66029,highway,turning_circle,1000,11
81541,highway,crossing,500,90
86369,highway,motorway_junction,1000,1
86369,highway,crossing,500,3
