sensor_id,geo_feature,feature_type,buffer_size,sum(value)
61193,highway,residential,500,8049.043474665313
4445,highway,residential,1000,13565.421421816422
61321,highway,residential,500,2456.196291945218
109718,highway,residential,1000,12690.010045843108
60353,highway,trunk_link,1000,370.0694981382546
19511,highway,secondary,1000,6168.034572396287
98865,highway,secondary,1000,2712.2175039427784
121453,highway,cycleway,1000,3810.2259751961524
32537,highway,residential,100,264.7005654169617
89847,highway,tertiary,1000,5878.821950080432
60007,highway,motorway_link,500,395.059236382876
98865,highway,motorway,1000,567.5989299455969
56777,highway,primary,1000,3546.4535656938115
75739,highway,service,500,10053.91689737926
109324,highway,secondary_link,500,66.52845320199734
19157,highway,secondary,500,2757.9993540529754
104718,highway,secondary_link,1000,282.2918964750396
81731,highway,steps,1000,138.19762963747996
86407,highway,footway,500,284.2423624476477
18453,highway,footway,500,456.14463419333583
32537,highway,footway,1000,11004.557684058193
112052,highway,service,500,624.5383308491461
4445,highway,unclassified,1000,59.36990339552337
53329,highway,service,500,131.21122292956963
70637,highway,path,100,9.601535762810407
25507,highway,path,500,51.656446918240924
26379,waterway,river,1000,613.8745381817472
120853,waterway,stream,500,645.9256228040466
26561,waterway,stream,500,118.40127939516759
81047,waterway,drain,1000,454.4735360408667
112688,man_made,reservoir_covered,1000,468.7630906035247
61015,man_made,bridge,1000,17.00665172711219
39663,highway,residential,1000,19787.645059253377
69451,highway,residential,500,1744.354061091411
59873,highway,footway,500,99.7024171272341
114379,highway,residential,500,5166.593541871222
114557,highway,motorway_link,1000,2453.5306560016606
97693,highway,footway,1000,20838.01829626816
37849,highway,residential,500,6940.480782281756
120853,highway,residential,100,202.78067185536065
56777,highway,unclassified,500,1464.4508902100483
53329,highway,track,500,505.1486624999119
11416,highway,path,1000,46.418300745737255
19153,highway,tertiary,500,531.9138443732929
69451,highway,cycleway,1000,1234.7319102986137
2362,highway,secondary,100,192.27937315557
87815,highway,cycleway,1000,1293.7497477166396
55449,highway,unclassified,100,199.26933120943278
89725,highway,footway,1000,6492.47991608312
73743,highway,path,500,3706.771166165994
86887,highway,service,100,251.7817045822713
15803,highway,unclassified,1000,287.71412540328106
18481,highway,secondary_link,1000,56.251608925578395
15669,highway,footway,500,55.672057069766396
57787,highway,secondary_link,1000,125.90340658358474
70097,highway,cycleway,1000,612.4709844523428
19613,highway,service,500,477.38706359951755
97109,highway,footway,500,203.88084954431366
113632,highway,service,100,206.91998917366845
1680,highway,footway,1000,15.451349801921264
74161,highway,motorway,500,701.9590693570785
89847,highway,primary,1000,431.0143687336711
110666,waterway,stream,500,1905.6706725940103
36111,waterway,stream,500,367.70404397201537
14161,waterway,stream,1000,2142.9637779068726
92029,highway,residential,100,203.69785591905884
97095,highway,track,500,206.70599662727864
17839,highway,residential,100,185.7453581473135
104672,highway,service,1000,32001.666551100883
19153,highway,tertiary,1000,4170.302357221863
37725,highway,residential,500,8809.723881144917
53401,highway,residential,1000,26516.39900104488
60663,highway,residential,500,6585.793929151537
55969,highway,residential,500,1625.8820732401223
12857,highway,secondary,1000,4427.093124347893
70533,highway,tertiary,1000,2217.4719713119493
7974,highway,service,1000,2418.8806280682143
51371,highway,residential,500,6809.256784449853
19601,highway,tertiary,1000,85.75612262264129
89847,highway,motorway_link,1000,2140.04937360942
113066,highway,track,1000,1409.3792569345558
115705,highway,tertiary_link,1000,114.6670217906974
128231,highway,service,100,309.57368026258854
64763,highway,secondary,500,1361.60321089844
20573,highway,residential,100,3.4428978444065463
64795,highway,secondary_link,1000,174.15817924926384
101221,highway,cycleway,1000,2851.1544463065497
69197,highway,footway,1000,5138.331728623053
48633,highway,footway,1000,13751.14263308888
49327,highway,service,500,2288.330023092938
69447,highway,footway,500,3219.525628896298
90465,highway,pedestrian,500,60.65954726358237
109718,highway,path,1000,1714.530588424659
112688,highway,service,500,564.2277258722697
64723,highway,unclassified,500,412.6512477213628
70207,highway,service,100,132.8334583328628
134246,highway,footway,500,6325.861846273079
125965,waterway,drain,1000,658.3217347764983
72081,waterway,drain,1000,594.9565811166137
124099,man_made,pipeline,500,1105.8521145167958
89725,man_made,works,1000,603.7499141223986
114189,highway,unclassified,1000,293.96304852050696
75021,highway,footway,500,843.1824951586575
76355,highway,service,1000,4971.885442064066
79337,highway,residential,1000,18973.249928534693
72081,highway,motorway,1000,4689.230506154186
84997,highway,residential,1000,20778.34467727541
79177,highway,residential,100,316.2737047408076
17909,highway,tertiary,500,573.3287377334926
134246,highway,residential,500,5591.718743168021
2350,highway,residential,1000,16357.711823956417
108524,highway,residential,1000,11060.820428154211
78787,highway,residential,500,644.705017204955
99657,highway,footway,500,10068.273888515685
14295,highway,service,1000,2178.3981365635914
19573,highway,trunk_link,1000,381.36200547341565
16073,highway,footway,500,574.4750122667874
112834,highway,secondary,100,303.88796262152226
22963,highway,secondary,1000,2195.5076289312265
78031,highway,cycleway,500,237.13756243583242
19153,highway,pedestrian,1000,991.7198730046484
78107,highway,secondary_link,1000,216.60569436308936
75021,highway,primary,500,1413.965429273646
135134,highway,service,1000,1806.634521483195
82863,highway,track,1000,2695.991192942574
82337,highway,path,1000,5004.367753530692
83227,highway,service,500,1966.0250365683032
82079,highway,construction,1000,130.64134928923812
119993,highway,path,1000,1979.4435909684998
92029,highway,service,500,640.5868425128646
63421,highway,cycleway,1000,1690.2673537558283
110666,highway,track,1000,373.3483011704979
39665,highway,path,500,327.71145513217857
19157,highway,secondary_link,500,152.46991492472014
90819,highway,service,100,111.88512339297968
19573,waterway,drain,1000,659.1835526589703
81661,waterway,stream,1000,7179.472741598684
37257,waterway,stream,1000,2297.1271119086646
20165,highway,primary,1000,2854.7640345059817
2653,highway,residential,1000,27995.208017035176
82055,highway,secondary,1000,4958.702965995243
77711,highway,residential,1000,26930.765110158995
62291,highway,steps,500,372.7735494508692
66183,highway,service,1000,4901.442325243708
37725,highway,tertiary,500,1528.2213624206572
90925,highway,residential,500,5411.900584091821
34523,highway,residential,100,634.7665016376269
4431,highway,tertiary,500,1925.263387186308
90925,highway,service,1000,14247.91758831281
112834,highway,footway,1000,65638.17508870662
104460,highway,service,1000,27942.723899766126
53027,highway,tertiary,1000,3073.3680769623898
75061,highway,residential,1000,17979.05529777319
116661,highway,path,500,68.24144657357772
87815,highway,tertiary,100,49.47954000780702
73755,highway,motorway,1000,3998.719728210387
112834,highway,tertiary_link,500,35.31984913365123
55475,highway,service,500,1511.1796647054325
83549,highway,footway,1000,58673.67058080218
82079,highway,tertiary,500,2996.595278096713
37725,highway,steps,100,94.39187002352709
73755,highway,motorway_link,500,45.948896734049775
64763,highway,trunk,1000,2891.267071300121
118965,highway,path,1000,1716.9944756710302
76597,highway,service,1000,12869.103717823458
63421,highway,service,500,1289.351629457583
77807,highway,pedestrian,1000,479.1143266517563
4431,highway,footway,100,432.44347759982554
69909,highway,steps,500,51.90591399959278
