sensor_id,geo_feature,feature_type,buffer_size,count
60353,highway,turning_circle,1000,38
119567,highway,motorway_junction,500,1
60353,highway,bus_stop,1000,5
69447,highway,turning_circle,500,7
14161,highway,crossing,500,28
56545,highway,bus_stop,1000,12
139716,highway,traffic_signals,500,4
51569,highway,crossing,1000,8
122079,highway,stop,500,22
96949,highway,traffic_signals,1000,8
82265,highway,turning_circle,1000,6
51681,highway,turning_circle,1000,28
48633,highway,stop,1000,19
61015,highway,crossing,1000,1
80691,highway,turning_circle,1000,9
81047,highway,turning_circle,500,5
101221,highway,bus_stop,1000,5
70701,highway,bus_stop,500,2
85823,highway,traffic_signals,100,4
82079,highway,stop,500,11
87345,highway,turning_circle,1000,1
20085,highway,turning_circle,1000,19
60663,highway,bus_stop,1000,20
113066,highway,trailhead,1000,1
4431,highway,turning_circle,1000,27
60105,highway,crossing,500,4
94955,highway,traffic_signals,500,20
109718,highway,crossing,500,7
71503,highway,bus_stop,1000,21
67983,highway,crossing,500,1
60455,highway,crossing,1000,1
2653,highway,turning_circle,1000,16
89847,highway,traffic_signals,1000,9
2350,highway,crossing,1000,26
80583,highway,crossing,1000,1
104460,highway,traffic_signals,500,2
85081,highway,traffic_signals,1000,9
22963,highway,turning_circle,500,2
69197,highway,bus_stop,1000,8
18883,highway,crossing,1000,178
70669,highway,stop,500,6
65259,highway,stop,500,6
19335,highway,crossing,1000,25
66183,highway,stop,1000,22
66183,highway,bus_stop,500,13
104432,highway,turning_loop,1000,1
2362,highway,traffic_signals,500,6
83549,highway,traffic_signals,500,8
83549,highway,crossing,1000,256
75775,highway,turning_loop,1000,1
85015,highway,turning_circle,1000,34
83227,highway,turning_circle,1000,21
14063,highway,crossing,1000,1
85823,highway,crossing,1000,239
55463,highway,crossing,1000,124
16541,highway,traffic_signals,1000,21
121439,highway,turning_circle,100,2
6244,highway,turning_circle,1000,7
82863,highway,turning_circle,1000,9
28425,highway,crossing,1000,76
2653,highway,bus_stop,1000,15
89847,highway,bus_stop,1000,31
48633,highway,bus_stop,500,3
92029,highway,crossing,1000,60
19157,highway,bus_stop,100,2
87779,highway,turning_circle,1000,9
75021,highway,turning_circle,500,2
75061,highway,turning_circle,500,2
75021,highway,bus_stop,500,4
14885,highway,turning_loop,1000,1
69447,highway,stop,100,2
68669,highway,give_way,1000,4
121439,highway,give_way,1000,3
75775,highway,turning_loop,500,1
98865,highway,bus_stop,1000,16
91335,highway,crossing,500,9
82265,highway,turning_loop,1000,1
80691,highway,traffic_signals,1000,9
70701,highway,stop,500,45
73853,highway,turning_circle,1000,17
76377,highway,traffic_signals,1000,2
53299,highway,crossing,1000,223
19613,highway,stop,500,7
115705,highway,turning_circle,1000,3
53517,highway,traffic_signals,500,15
77807,highway,traffic_signals,1000,16
82079,highway,stop,1000,37
