sensor_id,geo_feature,feature_type,buffer_size,sum(value)
38371,amenity,fountain,500,52.33654240062161
64469,amenity,parking,1000,3552.6762460968603
9162,amenity,place_of_worship,1000,1470.2915587095522
119567,amenity,school,1000,20759.297204238646
104460,amenity,library,1000,1858.887026477895
97925,amenity,school,100,21272.11875637071
90799,amenity,parking,1000,14693.5309143308
14161,amenity,place_of_worship,100,2334.331924220424
120513,amenity,school,500,142531.45066529192
20085,amenity,school,500,6366.112711157113
28425,amenity,parking,100,2207.7826004545277
18883,amenity,social_facility,1000,422.4516223312227
2350,building,office,1000,8474.686564417963
57355,building,house,500,115504.03603209973
87779,building,school,1000,14298.604312433661
85867,building,hospital,500,1237.5073414089125
85081,building,apartments,1000,20822.590760998297
73853,building,house,1000,4927.248700079668
51301,building,college,1000,3434.0403525072
65723,building,retail,1000,1302.8816082383546
90465,building,school,1000,5077.316759903473
131077,building,house,500,144651.77857620732
80519,building,shed,500,46.32478391470059
37703,building,residential,1000,23291.604919586818
68393,building,retail,1000,1134.1258752187293
83549,building,house,500,1862.945938266935
110666,building,house,100,2944.23989033922
84207,building,shed,100,207.525323926537
98865,building,roof,1000,51.32420199154072
134246,building,school,500,347.97937882302176
18287,building,shed,500,35.14471572647486
110666,landuse,farmland,1000,651566.6063047395
134314,landuse,residential,500,691158.9938966833
53027,landuse,orchard,1000,100467.38587160749
114189,landuse,plant_nursery,1000,4557.145947699116
65437,landuse,grass,500,5444.301460412191
4103,landuse,residential,100,26472.723915917213
18453,landuse,commercial,1000,6270.06650243277
78041,landuse,brownfield,1000,1490.4168662499987
64795,natural,wood,1000,82245.93357906869
9162,natural,water,1000,37486.9977791623
86277,natural,wood,100,3313.5956804317666
20573,natural,water,1000,957.4320054742535
80519,natural,wood,1000,78047.59263781432
59887,natural,sand,500,48620.36639321146
93521,amenity,school,1000,181794.4639682333
82991,amenity,bank,1000,1064.0120736688523
29201,amenity,fast_food,1000,430.90722596540127
78819,amenity,school,1000,88002.62903491891
76597,amenity,veterinary,1000,1048.876968473354
81047,amenity,fast_food,1000,0.5078813354957361
112834,amenity,place_of_worship,500,1389.6776057805516
83549,amenity,restaurant,500,652.0582465813629
37725,amenity,school,500,10566.940639362385
34523,amenity,fountain,1000,195.60111340485398
98713,amenity,school,1000,56270.867477582025
